=== DLC Final SOTA Runs (Phase 3) ===
[Config] tag=q_seed_42 d_hidden=128 num_layers=3 lambda_hsic=0.1 lambda_pred=5.0 lambda_ite=1.0 lambda_cate=1.2 lambda_prob=0.8 lambda_adv=0.5 lambda_sens=0.0 sens_eps_scale=0.0
[Seed] 42
Loading data...
Applying blacklist from data/PANCAN/pancan_leakage_blacklist.csv...
Filtered 513 leaked samples. Current: 8567
Aligning PANCAN features to LUAD feature space...
PANCAN aligned shape: (8567, 25)
PANCAN: (8567, 23), LUAD: (513, 23)
Scaler vars: min=0.030960266788788313, max=214.61184717252607

[Phase 1] Pre-training on PANCAN (150 epochs)...
  Ep 1: Loss 5.0805
  Ep 2: Loss 4.9355
  Ep 3: Loss 4.7400
  Ep 4: Loss 4.4223
  Ep 5: Loss 3.9853
  Ep 6: Loss 3.5488
  Ep 7: Loss 3.2647
  Ep 8: Loss 3.1558
  Ep 9: Loss 3.1165
  Ep 10: Loss 3.0989
  Ep 11: Loss 3.0844
  Ep 12: Loss 3.0613
  Ep 13: Loss 3.0516
  Ep 14: Loss 3.0262
  Ep 15: Loss 3.0058
  Ep 16: Loss 2.9787
  Ep 17: Loss 2.9471
  Ep 18: Loss 2.9227
  Ep 19: Loss 2.9082
  Ep 20: Loss 2.8788
  Ep 21: Loss 2.8569
  Ep 22: Loss 2.8297
  Ep 23: Loss 2.7906
  Ep 24: Loss 2.7743
  Ep 25: Loss 2.7449
  Ep 26: Loss 2.7285
  Ep 27: Loss 2.7020
  Ep 28: Loss 2.6788
  Ep 29: Loss 2.6578
  Ep 30: Loss 2.6404
  Ep 31: Loss 2.6234
  Ep 32: Loss 2.6233
  Ep 33: Loss 2.6044
  Ep 34: Loss 2.5904
  Ep 35: Loss 2.5782
  Ep 36: Loss 2.5617
  Ep 37: Loss 2.5496
  Ep 38: Loss 2.5359
  Ep 39: Loss 2.5253
  Ep 40: Loss 2.5040
  Ep 41: Loss 2.4991
  Ep 42: Loss 2.4827
  Ep 43: Loss 2.4862
  Ep 44: Loss 2.4878
  Ep 45: Loss 2.4840
  Ep 46: Loss 2.4679
  Ep 47: Loss 2.4617
  Ep 48: Loss 2.4559
  Ep 49: Loss 2.4516
  Ep 50: Loss 2.4476
  Ep 51: Loss 2.4383
  Ep 52: Loss 2.4258
  Ep 53: Loss 2.4224
  Ep 54: Loss 2.4234
  Ep 55: Loss 2.4205
  Ep 56: Loss 2.4147
  Ep 57: Loss 2.4174
  Ep 58: Loss 2.4112
  Ep 59: Loss 2.4075
  Ep 60: Loss 2.3969
  Ep 61: Loss 2.3835
  Ep 62: Loss 2.3799
  Ep 63: Loss 2.3654
  Ep 64: Loss 2.3619
  Ep 65: Loss 2.3542
  Ep 66: Loss 2.3471
  Ep 67: Loss 2.3505
  Ep 68: Loss 2.3473
  Ep 69: Loss 2.3406
  Ep 70: Loss 2.3425
  Ep 71: Loss 2.3458
  Ep 72: Loss 2.3481
  Ep 73: Loss 2.3460
  Ep 74: Loss 2.3458
  Ep 75: Loss 2.3475
  Ep 76: Loss 2.3457
  Ep 77: Loss 2.3402
  Ep 78: Loss 2.3395
  Ep 79: Loss 2.3372
  Ep 80: Loss 2.3289
  Ep 81: Loss 2.3289
  Ep 82: Loss 2.3322
  Ep 83: Loss 2.3203
  Ep 84: Loss 2.3215
  Ep 85: Loss 2.3187
  Ep 86: Loss 2.3242
  Ep 87: Loss 2.3383
  Ep 88: Loss 2.3350
  Ep 89: Loss 2.3291
  Ep 90: Loss 2.3386
  Ep 91: Loss 2.3305
  Ep 92: Loss 2.3241
  Ep 93: Loss 2.3271
  Ep 94: Loss 2.3154
  Ep 95: Loss 2.3096
  Ep 96: Loss 2.3040
  Ep 97: Loss 2.2908
  Ep 98: Loss 2.2846
  Ep 99: Loss 2.2842
  Ep 100: Loss 2.2798
  Ep 101: Loss 2.2777
  Ep 102: Loss 2.2692
  Ep 103: Loss 2.2827
  Ep 104: Loss 2.2744
  Ep 105: Loss 2.2742
  Ep 106: Loss 2.2856
  Ep 107: Loss 2.2841
  Ep 108: Loss 2.2964
  Ep 109: Loss 2.2925
  Ep 110: Loss 2.3039
  Ep 111: Loss 2.3001
  Ep 112: Loss 2.3025
  Ep 113: Loss 2.2922
  Ep 114: Loss 2.2962
  Ep 115: Loss 2.2932
  Ep 116: Loss 2.2856
  Ep 117: Loss 2.2912
  Ep 118: Loss 2.2891
  Ep 119: Loss 2.2877
  Ep 120: Loss 2.2874
  Ep 121: Loss 2.2876
  Ep 122: Loss 2.2890
  Ep 123: Loss 2.2883
  Ep 124: Loss 2.2800
  Ep 125: Loss 2.2807
  Ep 126: Loss 2.2804
  Ep 127: Loss 2.2805
  Ep 128: Loss 2.2749
  Ep 129: Loss 2.2761
  Ep 130: Loss 2.2709
  Ep 131: Loss 2.2719
  Ep 132: Loss 2.2747
  Ep 133: Loss 2.2771
  Ep 134: Loss 2.2731
  Ep 135: Loss 2.2810
  Ep 136: Loss 2.2822
  Ep 137: Loss 2.2825
  Ep 138: Loss 2.2829
  Ep 139: Loss 2.2886
  Ep 140: Loss 2.2793
  Ep 141: Loss 2.2878
  Ep 142: Loss 2.2763
  Ep 143: Loss 2.2741
  Ep 144: Loss 2.2744
  Ep 145: Loss 2.2791
  Ep 146: Loss 2.2705
  Ep 147: Loss 2.2715
  Ep 148: Loss 2.2743
  Ep 149: Loss 2.2724
  Ep 150: Loss 2.2732

[Phase 2] Fine-tuning on LUAD (80 epochs)...
  Ep 1: Loss 2.8247 | AUC 0.8692 | CATE 0.0056 | PEHE 0.0823 | Sens 0.0003
  Ep 2: Loss 2.7374 | AUC 0.8673 | CATE 0.0032 | PEHE 0.0793 | Sens 0.0003
  Ep 3: Loss 2.6768 | AUC 0.8661 | CATE 0.0019 | PEHE 0.0778 | Sens 0.0003
  Ep 4: Loss 2.7844 | AUC 0.8654 | CATE 0.0020 | PEHE 0.0773 | Sens 0.0003
  Ep 5: Loss 2.8781 | AUC 0.8650 | CATE 0.0018 | PEHE 0.0778 | Sens 0.0003
  Ep 6: Loss 2.8903 | AUC 0.8638 | CATE 0.0011 | PEHE 0.0788 | Sens 0.0003
  Ep 7: Loss 2.7944 | AUC 0.8638 | CATE 0.0009 | PEHE 0.0800 | Sens 0.0003
  Ep 8: Loss 2.9096 | AUC 0.8654 | CATE 0.0006 | PEHE 0.0813 | Sens 0.0003
  Ep 9: Loss 2.7637 | AUC 0.8650 | CATE 0.0009 | PEHE 0.0829 | Sens 0.0003
  Ep 10: Loss 2.8220 | AUC 0.8642 | CATE 0.0013 | PEHE 0.0839 | Sens 0.0003
  Ep 11: Loss 2.8505 | AUC 0.8635 | CATE 0.0015 | PEHE 0.0850 | Sens 0.0003
