=== DLC Final SOTA Runs (Phase 3) ===
[Config] tag=s_seed_42 d_hidden=128 num_layers=3 lambda_hsic=0.1 lambda_pred=3.5 lambda_ite=1.0 lambda_cate=2.0 lambda_prob=1.0 lambda_adv=0.5 lambda_sens=0.0 sens_eps_scale=0.0
[Seed] 42
Loading data...
Applying blacklist from data/PANCAN/pancan_leakage_blacklist.csv...
Filtered 513 leaked samples. Current: 8567
Aligning PANCAN features to LUAD feature space...
PANCAN aligned shape: (8567, 25)
PANCAN: (8567, 23), LUAD: (513, 23)
Scaler vars: min=0.030960266788788313, max=214.61184717252607

[Phase 1] Pre-training on PANCAN (200 epochs)...
  Ep 1: Loss 4.1185
  Ep 2: Loss 4.0050
  Ep 3: Loss 3.8549
  Ep 4: Loss 3.6137
  Ep 5: Loss 3.2819
  Ep 6: Loss 2.9544
  Ep 7: Loss 2.7390
  Ep 8: Loss 2.6444
  Ep 9: Loss 2.6052
  Ep 10: Loss 2.5895
  Ep 11: Loss 2.5766
  Ep 12: Loss 2.5572
  Ep 13: Loss 2.5474
  Ep 14: Loss 2.5264
  Ep 15: Loss 2.5088
  Ep 16: Loss 2.4832
  Ep 17: Loss 2.4534
  Ep 18: Loss 2.4297
  Ep 19: Loss 2.4138
  Ep 20: Loss 2.3851
  Ep 21: Loss 2.3617
  Ep 22: Loss 2.3345
  Ep 23: Loss 2.2986
  Ep 24: Loss 2.2804
  Ep 25: Loss 2.2526
  Ep 26: Loss 2.2339
  Ep 27: Loss 2.2086
  Ep 28: Loss 2.1847
  Ep 29: Loss 2.1620
  Ep 30: Loss 2.1437
  Ep 31: Loss 2.1263
  Ep 32: Loss 2.1198
  Ep 33: Loss 2.1036
  Ep 34: Loss 2.0896
  Ep 35: Loss 2.0791
  Ep 36: Loss 2.0646
  Ep 37: Loss 2.0546
  Ep 38: Loss 2.0398
  Ep 39: Loss 2.0260
  Ep 40: Loss 2.0067
  Ep 41: Loss 1.9980
  Ep 42: Loss 1.9842
  Ep 43: Loss 1.9843
  Ep 44: Loss 1.9840
  Ep 45: Loss 1.9816
  Ep 46: Loss 1.9691
  Ep 47: Loss 1.9651
  Ep 48: Loss 1.9589
  Ep 49: Loss 1.9547
  Ep 50: Loss 1.9509
  Ep 51: Loss 1.9399
  Ep 52: Loss 1.9290
  Ep 53: Loss 1.9214
  Ep 54: Loss 1.9200
  Ep 55: Loss 1.9153
  Ep 56: Loss 1.9113
  Ep 57: Loss 1.9125
  Ep 58: Loss 1.9081
  Ep 59: Loss 1.9081
  Ep 60: Loss 1.9025
  Ep 61: Loss 1.8939
  Ep 62: Loss 1.8910
  Ep 63: Loss 1.8782
  Ep 64: Loss 1.8737
  Ep 65: Loss 1.8650
  Ep 66: Loss 1.8543
  Ep 67: Loss 1.8513
  Ep 68: Loss 1.8420
  Ep 69: Loss 1.8330
  Ep 70: Loss 1.8325
  Ep 71: Loss 1.8320
  Ep 72: Loss 1.8338
  Ep 73: Loss 1.8314
  Ep 74: Loss 1.8325
  Ep 75: Loss 1.8368
  Ep 76: Loss 1.8372
  Ep 77: Loss 1.8365
  Ep 78: Loss 1.8396
  Ep 79: Loss 1.8382
  Ep 80: Loss 1.8331
  Ep 81: Loss 1.8328
  Ep 82: Loss 1.8312
  Ep 83: Loss 1.8174
  Ep 84: Loss 1.8161
  Ep 85: Loss 1.8081
  Ep 86: Loss 1.8082
  Ep 87: Loss 1.8129
  Ep 88: Loss 1.8065
  Ep 89: Loss 1.7988
  Ep 90: Loss 1.8023
  Ep 91: Loss 1.7965
  Ep 92: Loss 1.7920
  Ep 93: Loss 1.7979
  Ep 94: Loss 1.7949
  Ep 95: Loss 1.7943
  Ep 96: Loss 1.7974
  Ep 97: Loss 1.7953
  Ep 98: Loss 1.7979
  Ep 99: Loss 1.8020
  Ep 100: Loss 1.8018
  Ep 101: Loss 1.7988
  Ep 102: Loss 1.7909
  Ep 103: Loss 1.7966
  Ep 104: Loss 1.7834
  Ep 105: Loss 1.7763
  Ep 106: Loss 1.7795
  Ep 107: Loss 1.7728
  Ep 108: Loss 1.7767
  Ep 109: Loss 1.7722
  Ep 110: Loss 1.7767
  Ep 111: Loss 1.7734
  Ep 112: Loss 1.7766
  Ep 113: Loss 1.7722
  Ep 114: Loss 1.7789
  Ep 115: Loss 1.7823
  Ep 116: Loss 1.7784
  Ep 117: Loss 1.7850
  Ep 118: Loss 1.7835
  Ep 119: Loss 1.7802
  Ep 120: Loss 1.7779
  Ep 121: Loss 1.7755
  Ep 122: Loss 1.7772
  Ep 123: Loss 1.7803
  Ep 124: Loss 1.7769
  Ep 125: Loss 1.7808
  Ep 126: Loss 1.7847
  Ep 127: Loss 1.7867
  Ep 128: Loss 1.7818
  Ep 129: Loss 1.7812
  Ep 130: Loss 1.7756
  Ep 131: Loss 1.7733
  Ep 132: Loss 1.7706
  Ep 133: Loss 1.7688
  Ep 134: Loss 1.7622
  Ep 135: Loss 1.7646
  Ep 136: Loss 1.7636
  Ep 137: Loss 1.7633
  Ep 138: Loss 1.7623
  Ep 139: Loss 1.7673
  Ep 140: Loss 1.7622
  Ep 141: Loss 1.7689
  Ep 142: Loss 1.7632
  Ep 143: Loss 1.7625
  Ep 144: Loss 1.7648
  Ep 145: Loss 1.7702
  Ep 146: Loss 1.7655
  Ep 147: Loss 1.7664
  Ep 148: Loss 1.7660
  Ep 149: Loss 1.7653
  Ep 150: Loss 1.7649
  Ep 151: Loss 1.7668
  Ep 152: Loss 1.7624
  Ep 153: Loss 1.7588
  Ep 154: Loss 1.7570
  Ep 155: Loss 1.7590
  Ep 156: Loss 1.7602
  Ep 157: Loss 1.7559
  Ep 158: Loss 1.7600
  Ep 159: Loss 1.7582
  Ep 160: Loss 1.7592
  Ep 161: Loss 1.7588
  Ep 162: Loss 1.7577
  Ep 163: Loss 1.7626
  Ep 164: Loss 1.7586
  Ep 165: Loss 1.7630
  Ep 166: Loss 1.7586
  Ep 167: Loss 1.7581
  Ep 168: Loss 1.7554
  Ep 169: Loss 1.7532
  Ep 170: Loss 1.7573
  Ep 171: Loss 1.7522
  Ep 172: Loss 1.7552
  Ep 173: Loss 1.7597
  Ep 174: Loss 1.7547
  Ep 175: Loss 1.7561
  Ep 176: Loss 1.7562
  Ep 177: Loss 1.7661
  Ep 178: Loss 1.7576
  Ep 179: Loss 1.7593
  Ep 180: Loss 1.7605
  Ep 181: Loss 1.7532
  Ep 182: Loss 1.7594
  Ep 183: Loss 1.7532
  Ep 184: Loss 1.7487
  Ep 185: Loss 1.7488
  Ep 186: Loss 1.7489
  Ep 187: Loss 1.7499
  Ep 188: Loss 1.7540
  Ep 189: Loss 1.7490
  Ep 190: Loss 1.7509
  Ep 191: Loss 1.7510
  Ep 192: Loss 1.7505
  Ep 193: Loss 1.7550
